"SeriesCode","SiteName","Contributors","Lat","Lon","Elev","nseries","FirstYear","LastYear","interrbar","interrbar.sd","ar1bar","ar1bar.sd"
"CO030","Kassler","Fritts, H.C.; Holmes, R.L.","39.45","-105.13","1828",22,1690,1964,0.718686686897841,0.0545411267550134,0.694272727272727,0.121163479417639
"CO037","Waterdale","Fritts, H.C.; Holmes, R.L.","40.42","-105.2","1707",20,1680,1964,0.765309210148204,0.0511317276355013,0.59855,0.109546181081194
"CO040","Horsetooth Reservoir C","Fritts, H.C.; Holmes, R.L.","40.53","-105.15","1737",20,1650,1964,0.703823724768141,0.0708059744859195,0.5966,0.0988829185397932
"CO526","Devil's Gulch","Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.","40.42","-105.47","2400",31,1650,1980,0.757934718190881,0.0753134518727047,0.667483870967742,0.129185363197679
"CO527","Big Elk Meadows","Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.","40.22","-105.42","2438",66,1800,1983,0.599985879987339,0.102531649936452,0.681969696969697,0.193174689351531
"CO528","Indian Creek","Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.","39.37","-105.13","2400",50,1859,1983,0.603862802923756,0.102355759038659,0.74458,0.112692300952095
"CO529","Ophir Creek","Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.","38.07","-105.13","2438",31,1726,1984,0.68142652835902,0.0776628047333919,0.74558064516129,0.0934033454766828
"CO530","Oak Creek","Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.","38.3","-105.28","2408",12,1861,1983,0.637133336212796,0.073722011035731,0.81575,0.104233239332845
"CO531","Ormes Peak","Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.","38.95","-104.95","2895",25,1714,1984,0.664809452432579,0.0724007641258661,0.753,0.121071260008311
"CO532","Deer Mountain","Graybill, D.A.","40.37","-105.58","2605",26,1625,1987,0.716759162700385,0.075353379798532,0.720923076923077,0.151671730543809
"CO534","Eldorado Canyon","Graybill, D.A.","39.93","-105.27","1889",32,1678,1987,0.651701676121902,0.074013011032549,0.76265625,0.102302085677033
"CO538","Horsetooth Reservior A","Graybill, D.A.","40.53","-105.13","1706",21,1660,1987,0.680381174607164,0.0485884299605765,0.74047619047619,0.125901397548883
"CO539","Jefferson County Colorado","Graybill, D.A.","39.68","-105.2","1965",25,1548,1987,0.697924139658693,0.0532651952719359,0.6612,0.152143846408588
"CO541","Kassler Recollect","Graybill, D.A.","39.45","-105.13","1828",20,1700,1987,0.708256875238581,0.045619333411299,0.7271,0.103933632670084
"CO542","Lykins Gulch","Graybill, D.A.","40.17","-105.28","1798",22,1658,1987,0.642957849685372,0.0810702093703321,0.772272727272727,0.0917845208539995
"CO544","Monarch Lake","Graybill, D.A.","40.1","-105.73","2621",22,1429,1987,0.480383753224666,0.0852292149618699,0.737409090909091,0.167156516073412
"CO548","Turkey Creek Bluff","Graybill, D.A.","38.6","-104.87","1938",28,1640,1988,0.784631332561682,0.055292515073924,0.685535714285714,0.101519011955199
"CO550","Van Bibber Creek","Graybill, D.A.","40.37","-105.25","1920",26,1682,1987,0.69461208716457,0.0665351698240233,0.718346153846154,0.0797305172729701
"CO551","Alto Picnic Ground","Graybill, D.A.","40.05","-105.43","2560",24,1681,1987,0.683963341166744,0.0779262360824501,0.799375,0.0729441790746155
"CO555","Great Sand Dunes Lower","Grissino-Mayer, H.D.","37.78","-105.5","2530",83,1260,1995,0.667724637668731,0.138362896346839,0.683313253012048,0.153821319188368
"CO557","Pool Table Pines","Ryerson, D.E.; Swetnam, T.W.; Lynch, A.M.","37.78","-106.82","2877",83,1260,1995,0.667724637668731,0.138362896346839,0.683313253012048,0.153821319188368
"CO558","Roadsite","Ryerson, D.E.; Swetnam, T.W.; Lynch, A.M.","38.1","-106.37","2621",83,1260,1995,0.667724637668731,0.138362896346839,0.683313253012048,0.153821319188368
"CO559","Terrace Lake Pines","Ryerson, D.E.; Swetnam, T.W.; Lynch, A.M.","37.38","-106.28","2658",83,1260,1995,0.667724637668731,0.138362896346839,0.683313253012048,0.153821319188368
"CO560","Wilson Ranch","Ryerson, D.E.; Swetnam, T.W.; Lynch, A.M.","37.63","-106.68","2560",83,1260,1995,0.667724637668731,0.138362896346839,0.683313253012048,0.153821319188368
"CO564","Black Forest East","Woodhouse, C.A.; Brown, P.M.","39.5","-104.22","1800",33,1709,1997,0.687014057814358,0.0685079702792493,0.729363636363636,0.074847686245893
"CO565","Ridge Road","Woodhouse, C.A.; Brown, P.M.","39.38","-104.2","1850",16,1779,1998,0.598198726822278,0.0689437234646162,0.749125,0.0826009483399959
"CO568","Kim","Woodhouse, C.A.; Brown, P.M.; Losleben, M.V.","37.23","-103.25","1650",16,1779,1998,0.598198726822278,0.0689437234646162,0.749125,0.0826009483399959
"CO569","Mesa de Maya","Woodhouse, C.A.; Brown, P.M.","37.1","-103.62","2060",17,1464,1997,0.715157935974332,0.053257069101175,0.691823529411765,0.0732207580660342
"CO570","Sheep Pen Canyon","Woodhouse, C.A.; Brown, P.M.","37.07","-103.27","1580",58,1460,1998,0.738027965939523,0.0907938194554805,0.605741379310345,0.11680611620985
"CO588","Platt Bradbury","Woodhouse, C.A.; Losleben, M.V.","37.47","-106.3","2835",20,1632,2004,0.711333002252019,0.057236772107911,0.67385,0.118023759873751
"CO590","Bennett Creek","Woodhouse, C.A.; Lukas, J.J.; Huckaby, L.; Barger, N.","40.67","-105.52","2301",38,1392,2002,0.754395768937771,0.0647506390485415,0.69521052631579,0.123373561032653
"CO591","Boulder Ridge Road","Woodhouse, C.A.; Losleben, M.V.","40.98","-105.67","2650",36,1423,2001,0.638571966545762,0.0551577811995153,0.708388888888889,0.116965264142279
"CO594","Cochetopa Dome","Woodhouse, C.A.; Lukas, J.J.; Bolton, G.; Losleben, M.V.","38.25","-106.67","2835",62,1437,2002,0.778304594061922,0.0630867935069406,0.681467741935484,0.119969356434642
"CO596","Crags Hotel","Woodhouse, C.A.; Lukas, J.J.; Nepstad-Thornberry, C.","39.93","-105.3","2002",29,1545,2003,0.682860933913801,0.06386999937931,0.693793103448276,0.1156547754898
"CO598","Deer Mountain Recollection","Woodhouse, C.A.; Lukas, J.J.; Wilkinson Kaye, M.","40.37","-105.58","2605",26,1547,2000,0.757001024465018,0.0518127492491214,0.752307692307692,0.157077756345262
"CO601","Eagle Rock","Woodhouse, C.A.; Losleben, M.V.","39.38","-105.17","2103",38,1401,1998,0.703860785885715,0.0566975411733389,0.61628947368421,0.156177810635348
"CO602","Elevenmile Reservoir","Woodhouse, C.A.; Losleben, M.V.","38.87","-105.43","2743",38,1401,1998,0.703860785885715,0.0566975411733389,0.61628947368421,0.156177810635348
"CO607","Jamestown","Woodhouse, C.A.; Lukas, J.J.; Wilkinson Kaye, M.","40.13","-105.42","2469",24,1354,2000,0.731060374233352,0.0549457891351359,0.655333333333333,0.130894470161427
"CO608","Jefferson County Colorado Recollection","Woodhouse, C.A.; Lukas, J.J.; Nepstad-Thornberry, C.","39.68","-105.2","1965",28,1487,2003,0.682507407368124,0.0473687970886682,0.679464285714286,0.11294130961694
"CO611","Meyer Ranch","Woodhouse, C.A.; Lukas, J.J.; Nepstad-Thornberry, C.","39.55","-105.27","2530",34,1553,2002,0.630642873575662,0.058562355255306,0.677823529411765,0.165096018083919
"CO622","Rustic","Woodhouse, C.A.; Lukas, J.J.; Huckaby, L.; Barger, N.","40.72","-105.58","2499",37,1436,2002,0.73410526492218,0.0609469100478596,0.709513513513514,0.135294456982132
"CO623","Sapinero Mesa","Woodhouse, C.A.; Lukas, J.J.; Bolton, G.","38.32","-107.2","2700",37,1436,2002,0.73410526492218,0.0609469100478596,0.709513513513514,0.135294456982132
"CO625","South Fork","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.","37.67","-106.65","2591",35,1566,2002,0.754363846849614,0.052407917259611,0.564142857142857,0.192904447979875
"CO627","Soap Creek","Woodhouse, C.A.; Losleben, M.V.; Lukas, J.J.","38.53","-107.32","2417",41,1541,1999,0.557413408048538,0.0830670864135654,0.773780487804878,0.074529360722846
"CO639","Happy Meadows","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J.","39.0167","-105.3667","2440",29,1620,2003,0.752441284952903,0.0620296544900054,0.555310344827586,0.187980261776959
"CO641","Van Bibber Update","Woodhouse, C.A.; Lukas, J.J.","39.8","-105.25","1920",29,1566,2003,0.719580579051604,0.0530859902128563,0.665931034482759,0.158024168819312
"CO653","South Fork Update","Woodhouse, C.A.; Losleben, M.V.",NA,NA,NA,75,1566,2008,0.715308061644062,0.0721995438991467,0.520453333333333,0.200469333998679
"CO654","Vera Platt Bradbury","Woodhouse, C.A.; Losleben, M.V.",NA,NA,NA,54,1661,2008,0.729893079607602,0.0957692779993718,0.589037037037037,0.150050049884365
"CO657","Amoco","Woodhouse, C.A.; Losleben, M.V.","37.216667","-104.783333","2386",54,1661,2008,0.729893079607602,0.0957692779993718,0.589037037037037,0.150050049884365
"CO659","Bald Mountain","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J.","40.05","-105.35","2180",32,1683,2002,0.678082344075387,0.0593611571451027,0.66984375,0.0948775473541316
"CO663","Gotera Rincon","Brown, P.M.; Woodhouse, C.A.","37.116667","-103.083333","1920",32,1683,2002,0.678082344075387,0.0593611571451027,0.66984375,0.0948775473541316
"CO666","Johnny Park","Woodhouse, C.A.; Lukas, J.J.; Kaye, M.","40.25","-105.433333","2377",29,1615,2001,0.687728704370616,0.0648725011974744,0.702344827586207,0.134278302646319
"CO669","Monarch Pass","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J.","38.45","-106.38333","3650",18,1627,1999,0.524126801284743,0.0704537716245817,0.833388888888889,0.047633575514965
"CO675","Turkey Creek Update","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J.","38.6","-104.87","1938",46,1634,2003,0.784860283227375,0.0504190684714201,0.624021739130435,0.146285184049731
"DRI","Deer Ridge","Veblen, Thomas. T.; Kitzberger, Thomas; Donnegan, J.","40.37","-105.57","2580",27,1715,1996,0.695392201503849,0.101925141911131,0.648888888888889,0.17628698920823
"DRIre","Deer Ridge Recollection","Veblen, Thomas. T.","40.37","-105.57","2580",45,1690,2007,0.711074285749111,0.0944239479077841,0.625844444444444,0.15608548874889
