"","Category","SeriesCode","SiteName","Contributors","Public","Update","Species","Lat","Lon","Elev","EarliestYr","LatestYr","Citation","nseries","interrbar","interrbar.sd","ar1bar","ar1bar.sd"
"1","Climate","CO030","Kassler","Fritts, H.C.; Holmes, R.L.","ITRDB","CO541","PIPO","39.45","-105.13","1828","1690","1964",NA,NA,NA,NA,NA,NA
"2","Climate","CO037","Waterdale","Fritts, H.C.; Holmes, R.L.","ITRDB","No","PIPO","40.42","-105.2","1707","1680","1964",NA,20,0.765309210148204,0.0511317276355013,0.59855,0.109546181081194
"3","Climate","CO040","Horsetooth Reservoir C","Fritts, H.C.; Holmes, R.L.","ITRDB","No","PIPO","40.53","-105.15","1737","1650","1964",NA,20,0.703823724768141,0.0708059744859195,0.5966,0.0988829185397932
"4","Climate","CO526","Devil's Gulch","Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.","ITRDB","No","PIPO","40.42","-105.47","2400","1650","1980",NA,31,0.757934718190881,0.0753134518727047,0.667483870967742,0.129185363197679
"5","Climate","CO527","Big Elk Meadows","Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.","ITRDB","No","PIPO","40.22","-105.42","2438","1800","1983",NA,66,0.599985879987339,0.102531649936452,0.681969696969697,0.193174689351531
"6","Climate","CO528","Indian Creek","Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.","ITRDB","No","PIPO","39.37","-105.13","2400","1859","1983",NA,50,0.603862802923756,0.102355759038659,0.74458,0.112692300952095
"7","Climate","CO529","Ophir Creek","Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.","ITRDB","No","PIPO","38.07","-105.13","2438","1726","1984",NA,31,0.68142652835902,0.0776628047333919,0.74558064516129,0.0934033454766828
"8","Climate","CO530","Oak Creek","Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.","ITRDB","No","PIPO","38.3","-105.28","2408","1861","1983",NA,12,0.637133336212796,0.073722011035731,0.81575,0.104233239332845
"9","Climate","CO531","Ormes Peak","Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.","ITRDB","No","PIPO","38.95","-104.95","2895","1714","1984",NA,25,0.664809452432579,0.0724007641258661,0.753,0.121071260008311
"10","Climate","CO532","Deer Mountain","Graybill, D.A.","ITRDB","CO598","PIPO","40.37","-105.58","2605","1640","1987",NA,NA,NA,NA,NA,NA
"11","Climate","CO534","Eldorado Canyon","Graybill, D.A.","ITRDB","No","PIPO","39.93","-105.27","1889","1680","1987",NA,32,0.651701676121902,0.074013011032549,0.76265625,0.102302085677033
"12","Climate","CO538","Horsetooth Reservior A","Graybill, D.A.","ITRDB","No","PIPO","40.53","-105.13","1706","1670","1987",NA,21,0.680381174607164,0.0485884299605765,0.74047619047619,0.125901397548883
"13","Climate","CO539","Jefferson County Colorado","Graybill, D.A.","ITRDB","CO608","PIPO","39.68","-105.2","1965","1550","1987",NA,NA,NA,NA,NA,NA
"14","Climate","CO541","Kassler Recollect","Graybill, D.A.","ITRDB","Yes","PIPO","39.45","-105.13","1828","1710","1987",NA,NA,NA,NA,NA,NA
"15","Climate","CO542","Lykins Gulch","Graybill, D.A.","ITRDB","No","PIPO","40.17","-105.28","1798","1690","1987",NA,22,0.642957849685372,0.0810702093703321,0.772272727272727,0.0917845208539995
"16","Climate","CO544","Monarch Lake","Graybill, D.A.","ITRDB","No","PIPO","40.1","-105.73","2621","1430","1987",NA,22,0.480383753224666,0.0852292149618699,0.737409090909091,0.167156516073412
"17","Climate","CO548","Turkey Creek Bluff","Graybill, D.A.","ITRDB","CO641","PIPO","38.6","-104.87","1938","1650","1988",NA,NA,NA,NA,NA,NA
"18","Climate","CO550","Van Bibber Creek","Graybill, D.A.","ITRDB","CO653","PIPO","40.37","-105.25","1920","1690","1987",NA,NA,NA,NA,NA,NA
"19","Climate","CO551","Alto Picnic Ground","Graybill, D.A.","ITRDB","No","PIPO","40.05","-105.43","2560","1750","1987",NA,24,0.683963341166744,0.0779262360824501,0.799375,0.0729441790746155
"20","Climate","CO555","Great Sand Dunes Lower","Grissino-Mayer, H.D.","ITRDB","No","PIPO","37.78","-105.5","2530","1260","1995",NA,83,0.667724637668731,0.138362896346839,0.683313253012048,0.153821319188368
"21","Climate","CO557","Pool Table Pines","Ryerson, D.E.; Swetnam, T.W.; Lynch, A.M.","ITRDB","No","PIPO","37.78","-106.82","2877","1651","1997",NA,23,0.765334336079245,0.0616919471845273,0.725391304347826,0.096765292016975
"22","Climate","CO558","Roadsite","Ryerson, D.E.; Swetnam, T.W.; Lynch, A.M.","ITRDB","No","PIPO","38.1","-106.37","2621","1603","1997",NA,29,0.818934038897712,0.066824224210937,0.58051724137931,0.0872265607851413
"23","Climate","CO559","Terrace Lake Pines","Ryerson, D.E.; Swetnam, T.W.; Lynch, A.M.","ITRDB","No","PIPO","37.38","-106.28","2658","1599","1997",NA,23,0.830216207724526,0.046495196299484,0.627608695652174,0.117917436111588
"24","Climate","CO560","Wilson Ranch","Ryerson, D.E.; Swetnam, T.W.; Lynch, A.M.","ITRDB","No","PIPO","37.63","-106.68","2560","1673","1997",NA,23,0.719912593239991,0.0685727203370376,0.711782608695652,0.124159705263291
"25","Climate","CO564","Black Forest East","Woodhouse, C.A.; Brown, P.M.","ITRDB","No","PIPO","39.5","-104.22","1800","1709","1997",NA,33,0.687014057814358,0.0685079702792493,0.729363636363636,0.074847686245893
"26","Climate","CO565","Ridge Road","Woodhouse, C.A.; Brown, P.M.","ITRDB","No","PIPO","39.38","-104.2","1850","1779","1998",NA,16,0.598198726822278,0.0689437234646162,0.749125,0.0826009483399959
"27","Climate","CO568","Kim","Woodhouse, C.A.; Brown, P.M.; Losleben, M.V.","ITRDB","No","PIPO","37.23","-103.25","1650","1628","1998",NA,31,0.663017141336357,0.0814434999264573,0.695451612903226,0.11495994627396
"28","Climate","CO569","Mesa de Maya","Woodhouse, C.A.; Brown, P.M.","ITRDB","No","PIPO","37.1","-103.62","2060","1464","1997",NA,17,0.715157935974332,0.053257069101175,0.691823529411765,0.0732207580660342
"29","Climate","CO570","Sheep Pen Canyon","Woodhouse, C.A.; Brown, P.M.","ITRDB","No","PIPO","37.07","-103.27","1580","1460","1998",NA,58,0.738027965939523,0.0907938194554805,0.605741379310345,0.11680611620985
"30","Climate","CO588","Platt Bradbury","Woodhouse, C.A.; Losleben, M.V.","ITRDB","No","PIPO","37.47","-106.3","2835","1632","2004",NA,20,0.711333002252019,0.057236772107911,0.67385,0.118023759873751
"31","Climate","CO590","Bennett Creek","Woodhouse, C.A.; Lukas, J.J.; Huckaby, L.; Barger, N.","ITRDB","No","PIPO","40.67","-105.52","2301","1394","2002",NA,38,0.754395768937771,0.0647506390485415,0.69521052631579,0.123373561032653
"32","Climate","CO591","Boulder Ridge Road","Woodhouse, C.A.; Losleben, M.V.","ITRDB","No","PIPO","40.98","-105.67","2650","1423","2001",NA,36,0.638571966545762,0.0551577811995153,0.708388888888889,0.116965264142279
"33","Climate","CO594","Cochetopa Dome","Woodhouse, C.A.; Lukas, J.J.; Bolton, G.; Losleben, M.V.","ITRDB","No","PIPO","38.25","-106.67","2835","1437","2002",NA,62,0.778304594061922,0.0630867935069406,0.681467741935484,0.119969356434642
"34","Climate","CO596","Crags Hotel","Woodhouse, C.A.; Lukas, J.J.; Nepstad-Thornberry, C.","ITRDB","No","PIPO","39.93","-105.3","2002","1545","2003",NA,29,0.682860933913801,0.06386999937931,0.693793103448276,0.1156547754898
"35","Climate","CO598","Deer Mountain Recollection","Woodhouse, C.A.; Lukas, J.J.; Wilkinson Kaye, M.","ITRDB","Yes","PIPO","40.37","-105.58","2605","1547","2000",NA,NA,NA,NA,NA,NA
"36","Climate","CO601","Eagle Rock","Woodhouse, C.A.; Losleben, M.V.","ITRDB","No","PIPO","39.38","-105.17","2103","1401","1997",NA,38,0.703860785885715,0.0566975411733389,0.61628947368421,0.156177810635348
"37","Climate","CO602","Elevenmile Reservoir","Woodhouse, C.A.; Losleben, M.V.","ITRDB","No","PIPO","38.87","-105.43","2743","1507","1997",NA,NA,NA,NA,NA,NA
"38","Climate","CO607","Jamestown","Woodhouse, C.A.; Lukas, J.J.; Wilkinson Kaye, M.","ITRDB","No","PIPO","40.13","-105.42","2469","1364","2000",NA,24,0.731060374233352,0.0549457891351359,0.655333333333333,0.130894470161427
"39","Climate","CO608","Jefferson County Colorado Recollection","Woodhouse, C.A.; Lukas, J.J.; Nepstad-Thornberry, C.","ITRDB","Yes","PIPO","39.68","-105.2","1965","1487","2003",NA,NA,NA,NA,NA,NA
"40","Climate","CO611","Meyer Ranch","Woodhouse, C.A.; Lukas, J.J.; Nepstad-Thornberry, C.","ITRDB","No","PIPO","39.55","-105.27","2530","1553","2002",NA,34,0.630642873575662,0.058562355255306,0.677823529411765,0.165096018083919
"41","Climate","CO622","Rustic","Woodhouse, C.A.; Lukas, J.J.; Huckaby, L.; Barger, N.","ITRDB","No","PIPO","40.72","-105.58","2499","1436","2002",NA,37,0.73410526492218,0.0609469100478596,0.709513513513514,0.135294456982132
"42","Climate","CO623","Sapinero Mesa","Woodhouse, C.A.; Lukas, J.J.; Bolton, G.","ITRDB","No","PIPO","38.32","-107.2","2700","1511","2000",NA,NA,NA,NA,NA,NA
"43","Climate","CO625","South Fork","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.","ITRDB","CO675","PIPO","37.67","-106.65","2591","1566","2002",NA,NA,NA,NA,NA,NA
"44","Climate","CO627","Soap Creek","Woodhouse, C.A.; Losleben, M.V.; Lukas, J.J.","ITRDB","No","PIPO","38.53","-107.32","2417","1541","1999",NA,41,0.557413408048538,0.0830670864135654,0.773780487804878,0.074529360722846
"45","Climate","CO639","Happy Meadows","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J.","ITRDB","No","PIPO","39.0167","-105.3667","2440","1620","2003",NA,29,0.752441284952903,0.0620296544900054,0.555310344827586,0.187980261776959
"46","Climate","CO641","Van Bibber Update","Woodhouse, C.A.; Lukas, J.J.","ITRDB","Yes","PIPO","39.8","-105.25","1920","1566","2003",NA,NA,NA,NA,NA,NA
"47","Climate","CO653","South Fork Update","Woodhouse, C.A.; Losleben, M.V.","ITRDB","Yes","PIPO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Climate","CO654","Vera Platt Bradbury","Woodhouse, C.A.; Losleben, M.V.","ITRDB","No","PIPO",NA,NA,NA,NA,NA,NA,54,0.729893079607602,0.0957692779993718,0.589037037037037,0.150050049884365
"49","Climate","CO657","Amoco","Woodhouse, C.A.; Losleben, M.V.","ITRDB","No","PIPO","37.216667","-104.783333","2386","1679","1997",NA,NA,NA,NA,NA,NA
"50","Climate","CO659","Bald Mountain","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J.","ITRDB","No","PIPO","40.05","-105.35","2180","1683","2002",NA,32,0.678082344075387,0.0593611571451027,0.66984375,0.0948775473541316
"51","Climate","CO663","Gotera Rincon","Brown, P.M.; Woodhouse, C.A.","ITRDB","No","PIPO","37.116667","-103.083333","1920","1360","1998",NA,NA,NA,NA,NA,NA
"52","Climate","CO666","Johnny Park","Woodhouse, C.A.; Lukas, J.J.; Kaye, M.","ITRDB","No","PIPO","40.25","-105.433333","2377","1615","2001",NA,29,0.687728704370616,0.0648725011974744,0.702344827586207,0.134278302646319
"53","Climate","CO669","Monarch Pass","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J.","ITRDB","No","PIPO","38.45","-106.38333","3650","1627","1999",NA,18,0.524126801284743,0.0704537716245817,0.833388888888889,0.047633575514965
"54","Climate","CO675","Turkey Creek Update","Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J.","ITRDB","Yes","PIPO","38.6","-104.87","1938","1634","2003",NA,NA,NA,NA,NA,NA
"55","Climate","AGPE","Al Gulch","Veblen lab","No","No","PIEN","39.26666667","-105.6",NA,NA,NA,NA,19,0.688466216138774,0.0839994094638882,0.734157894736842,0.144739713953433
"56","Climate","AGPF","Al Gulch","Veblen lab","No","No","PIFL","39.26666667","-105.6",NA,"1335","1996",NA,18,0.638978645367826,0.0547932397005988,0.813,0.159767109918671
"57","Climate","DRI","Deer Ridge","Veblen lab","No","Yes","PIPO","40.36666667","-105.5666667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Climate","DRI08","Deer Ridge","Veblen lab","No","Yes","PIPO","40.36666667","-105.5666667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Climate","ELDO08","Eldorado Canyon","Veblen lab","No","Yes","PIPO","39.933333","-105.266667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Climate","JFCO08","Jefferson County","Veblen lab","No","Yes","PIPO","39.68","-105.2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Climate","VBIB08","Van Bibber Creek UPDATE 2008","Veblen lab","No","Yes","PIPO","40.37","-105.25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Climate","DMC","Deer Mountain","combo","ITRDB","combo","PIPO","40.37","-105.58","2605","1547","2000",NA,52,0.735209075789914,0.0694390457140992,0.736615384615385,0.15369618029445
"63","Climate","DRC","Deer Ridge","combo","ITRDB","combo","PIPO","40.36666667","-105.5666667",NA,"1690","2007",NA,45,0.711074285749111,0.0944239479077841,0.625844444444444,0.15608548874889
"64","Climate","ECC","Eldorado Canyon","combo","ITRDB","combo","PIPO","39.93","-105.27","1889","1678","2007",NA,38,0.63123834355547,0.089170778581142,0.714184210526316,0.160536407466758
"65","Climate","JCC","Jefferson County","combo","ITRDB","combo","PIPO","39.68","-105.2","1965","1487","2007",NA,62,0.687276009499884,0.056117519212864,0.648983870967742,0.144752869326354
"66","Climate","KC","Kassler","combo","ITRDB","combo","PIPO","39.45","-105.13","1828","1690","1987",NA,42,0.721385438116572,0.0507976283001844,0.709904761904762,0.11313963087412
"67","Climate","TCC","Turkey Creek Bluff","combo","ITRDB","combo","PIPO","38.6","-104.87","1938","1634","2003",NA,46,0.784860283227375,0.0504190684714201,0.624021739130435,0.146285184049731
"68","Climate","VBC","Van Bibber Creek","combo","ITRDB","combo","PIPO","40.37","-105.25","1920","1566","2007",NA,62,0.688817052153844,0.0758558558837035,0.672193548387097,0.14460243277432
