Site,Tree,Staw.No,Species,Status,DBH,Core.ht,Crossdating.notes
North Inlet,1,1078,PSME,Live,47,40,
North Inlet,1,1062,PSME,Live,47,40,
North Inlet,2,1177,PSME,Live,49,35,
North Inlet,2,1120,PSME,Live,49,60,
North Inlet,2,1088,PSME,Live,49,60,
North Inlet,3,1170,PSME,Live,47,45,
North Inlet,3,1168,PSME,Live,47,45,
North Inlet,4,1155,PSME,Live,55,40,
North Inlet,4,1017,PSME,Live,55,60,
North Inlet,5,1204,PSME,Live,62,50,
North Inlet,5,2016,PSME,Live,62,40,
North Inlet,6,1222,PSME,Live,44,35,
North Inlet,6,1067,PSME,Live,44,40,
North Inlet,7,1129,PSME,Live,75,45,
North Inlet,8,1130,PSME,Live,40,25,
North Inlet,8,1127,PSME,Live,40,25,
North Inlet,9,1163,PSME,Live,44,35,
North Inlet,9,1245,PSME,Live,44,35,
North Inlet,10,1241,PSME,Live,42,35,
North Inlet,10,1244,PSME,Live,42,35,
North Inlet,11,1250,PSME,Live,36,30,
North Inlet,11,1063,PSME,Live,36,25,
North Inlet,12,1039,PSME,Live,50,40,
North Inlet,12,1247,PSME,Live,50,40,
North Inlet,13,1098,PSME,Live,50,30,
North Inlet,13,1055,PSME,Live,50,30,
North Inlet,14,1122,PSME,Live,54,35,
North Inlet,14,1136,PSME,Live,54,30,
North Inlet,15,-9999,PSME,Live,63,30,
North Inlet,15,1037,PSME,Live,63,45,
North Inlet,16,1009,PSME,Live,40,50,
North Inlet,16,1200,PSME,Live,40,35,
North Inlet,17,1015,PSME,Live,45,30,
North Inlet,17,1200,PSME,Live,40,35,
North Inlet,18,1015,PSME,Live,45,30,
North Inlet,18,975,PSME,Live,45,30,
North Inlet,19,1201,PSME,Live,47,50,
North Inlet,19,1210,PSME,Live,57,55,
North Inlet,20,1265,PSME,Live,43,40,
North Inlet,21,1218,PSME,Live,35,40,
North Inlet,22,965,PSME,Live,40,30,
North Inlet,22,1217,PSME,Live,40,50,
North Inlet,22,1001,PSME,Live,40,40,
North Inlet,23,995,PSME,Live,51,40,
North Inlet,23,1003,PSME,Live,51,25,
Wild Basin,1,1359,PSME,Live,44,25,
Wild Basin,1,1345,PSME,Live,44,35,
Wild Basin,2,1357,PSME,Live,39,35,
Wild Basin,2,1360,PSME,Live,39,25,
Wild Basin,3,1344,PSME,Dead,55,40,
Wild Basin,3,1350,PSME,Dead,55,40,
Wild Basin,4,1349,PSME,Dead,65,30,
Wild Basin,4,1356,PSME,Dead,65,30,
Wild Basin,5,1353,PSME,Live,38,25,
Wild Basin,5,1346,PSME,Live,38,30,
Wild Basin,6,1351,PSME,Dead,47,60,
Wild Basin,6,1345,PSME,Dead,47,60,
Wild Basin,7,1342,PSME,Live,42,35,
Wild Basin,7,1355,PSME,Live,42,30,
Wild Basin,7,1347,PSME,Live,42,30,
Wild Basin,8,1348,PSME,Live,73,45,
Wild Basin,8,1341,PSME,Live,73,45,no correlation with 8ppres but weak correlation with co050.rw 
Wild Basin,9,1352,PSME,Live,45,30,
Wild Basin,9,1343,PSME,Live,45,49,
Wild Basin,10,1358,PSME,Live,48,35,
Wild Basin,10,1125,PSME,Live,48,30,
Wild Basin,11,1124,PSME,Live,43,30,
Wild Basin,11,1070,PSME,Live,43,40,
Wild Basin,12,1377,PSME,Live,40,30,
Wild Basin,12,1376,PSME,Live,40,30,
Wild Basin,13,1367,PSME,Live,38,30,
Wild Basin,13,1364,PSME,Live,38,20,
Wild Basin,14,1368,PSME,Live,39,35,o correlation with 8ppres but weak correlation with co050.rwl
Wild Basin,14,1365,PSME,Live,39,30,
Wild Basin,15,1380,PSME,Dead,55,45,
Wild Basin,15,1374,PSME,Dead,55,40,
Wild Basin,16,1375,PSME,Dead,43,45,
Wild Basin,16,1363,PSME,Dead,43,35,
Wild Basin,17,1370,PSME,Dead,-9999,-9999,
Wild Basin,17,1362,PSME,Dead,-9999,-9999,
Wild Basin,18,1361,PSME,Live,49,30,
Wild Basin,18,1369,PSME,Live,49,30,
Wild Basin,19,1373,PSME,Live,58,45,
Wild Basin,19,1371,PSME,Live,58,50,moved –1 ring
Wild Basin,20,1378,PSME,Live,64,30,
Wild Basin,20,1323,PSME,Live,64,25,
Wild Basin,21,1379,PSME,Live,50,30,
Wild Basin,21,1372,PSME,Live,50,30,moved –1 ring
Wild Basin,22,1366,PSME,Live,50,30,
Wild Basin,22,1338,PSME,Live,50,75,
Wild Basin,23,1326,PSME,Live,53,65,
Wild Basin,23,1331,PSME,Live,53,30,
Wild Basin,24,1336,PSME,Live,49,60,
Wild Basin,24,1334,PSME,Live,49,65,
Wild Basin,25,1337,PSME,Live,48,35,
Wild Basin,25,1335,PSME,Live,48,30,
Wild Basin,26,1325,PSME,Live,53,40,
Wild Basin,26,1327,PSME,Live,53,30,
Wild Basin,27,1333,PSME,Live,67,70,
Wild Basin,27,1339,PSME,Live,67,40,possibly –1 ring
Summerland Park,1,4115,PSME,Live,49,30,
Summerland Park,1,1502,PSME,Live,49,40,moved –1 ring
Summerland Park,2,1511,PSME,Live,55,35,
Summerland Park,2,-9999,PSME,Live,55,40,
Summerland Park,3,1398,PSME,Live,58,40,
Summerland Park,3,4147,PSME,Live,58,40,
Summerland Park,3,1393,PSME,Live,58,30,
Summerland Park,4,4147,PSME,Live,40,35,
Summerland Park,4,1390,PSME,Live,40,30,
Summerland Park,5,4114,PSME,Live,58,50,
Summerland Park,5,4146,PSME,Live,58,60,
Summerland Park,6,4104,PSME,Live,57,30,
Summerland Park,6,4121,PSME,Live,57,35,
Summerland Park,6,1394,PSME,Live,57,30,
Summerland Park,7,4140,PSME,Live,50,90,
Summerland Park,7,1517,PSME,Live,50,50,
Summerland Park,7,4143,PSME,Live,44,70,
Summerland Park,7,1500,PSME,Live,44,50,
Summerland Park,8,1532,PSME,Live,85,60,
Summerland Park,8,4031,PSME,Live,85,50,
Summerland Park,9,1522,PSME,Live,58,40,moved –1 ring
Summerland Park,9,1524,PSME,Live,58,45,
Summerland Park,10,1566,PSME,Live,60,45,
Summerland Park,10,4011,PSME,Live,60,55,moved –1 ring
Summerland Park,11,1573,PSME,Live,64,50,
Summerland Park,11,4007,PSME,Live,64,50,
Summerland Park,12,1580,PSME,Live,50,50,
Summerland Park,12,4182,PSME,Live,50,35,
Summerland Park,13,1531,PSME,Live,47,40,moved –2 ring
Summerland Park,13,1525,PSME,Live,47,40,
Summerland Park,14,1540,PSME,Live,59,65,
Summerland Park,14,1537,PSME,Live,59,30,
Summerland Park,15,1565,PSME,Live,90,40,no correlation
Summerland Park,15,1569,PSME,Live,90,35,
Summerland Park,15,1536,PSME,Live,90,-9999,
Summerland Park,16,1561,PSME,Live,49,40,
Summerland Park,16,1572,PSME,Live,49,35,
Summerland Park,17,4032,PSME,Live,70,60,
Summerland Park,17,4001,PSME,Live,70,55,
Summerland Park,18,1579,PSME,Live,90,60,
Summerland Park,18,1571,PSME,Live,90,50,
Summerland Park,18,1577,PSME,Live,90,40,
