Category,SeriesCode,SiteName,Contributors,Public,Update,Species,Lat,Lon,Elev,EarliestYr,LatestYr,Include
Climate,CO551,Alto Picnic Ground,"Graybill, D.A.",ITRDB,NA,PIPO,40.05,-105.43,2560,1750,1987,N
Climate,CO657,Amoco,"Woodhouse, C.A.; Losleben, M.V.",ITRDB,NA,PIPO,37.216667,-104.783333,2386,1679,1997,Y
Climate,CO659,Bald Mountain,"Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J.",ITRDB,NA,PIPO,40.05,-105.35,2180,1683,2002,Y
Climate,CO590,Bennett Creek,"Woodhouse, C.A.; Lukas, J.J.; Huckaby, L.; Barger, N.",ITRDB,NA,PIPO,40.67,-105.52,2301,1394,2002,Y
Climate,CO527,Big Elk Meadows,"Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.",ITRDB,NA,PIPO,40.22,-105.42,2438,1800,1983,N
Climate,CO564,Black Forest East,"Woodhouse, C.A.; Brown, P.M.",ITRDB,NA,PIPO,39.5,-104.22,1800,1709,1997,Y
Climate,CO591,Boulder Ridge Road,"Woodhouse, C.A.; Losleben, M.V.",ITRDB,NA,PIPO,40.98,-105.67,2650,1423,2001,Y
Climate,CO594,Cochetopa Dome,"Woodhouse, C.A.; Lukas, J.J.; Bolton, G.; Losleben, M.V.",ITRDB,NA,PIPO,38.25,-106.67,2835,1437,2002,Y
Climate,CO596,Crags Hotel,"Woodhouse, C.A.; Lukas, J.J.; Nepstad-Thornberry, C.",ITRDB,NA,PIPO,39.93,-105.3,2002,1545,2003,Y
Climate,CO532,Deer Mountain,"Graybill, D.A.",ITRDB,CO598,PIPO,40.37,-105.58,2605,1640,1987,N
Climate,CO598,Deer Mountain Recollection,"Woodhouse, C.A.; Lukas, J.J.; Wilkinson Kaye, M.",ITRDB,NA,PIPO,40.37,-105.58,2605,1547,2000,N
Climate,CO526,Devil's Gulch,"Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.",ITRDB,NA,PIPO,40.42,-105.47,2400,1650,1980,N
Climate,CO601,Eagle Rock,"Woodhouse, C.A.; Losleben, M.V.",ITRDB,NA,PIPO,39.38,-105.17,2103,1401,1997,Y
Climate,CO534,Eldorado Canyon,"Graybill, D.A.",ITRDB,ELD08,PIPO,39.93,-105.27,1889,1680,1987,N
Climate,CO602,Elevenmile Reservoir,"Woodhouse, C.A.; Losleben, M.V.",ITRDB,NA,PIPO,38.87,-105.43,2743,1507,1997,Y
Climate,CO663,Gotera Rincon,"Brown, P.M.; Woodhouse, C.A.",ITRDB,NA,PIPO,37.116667,-103.083333,1920,1360,1998,Y
Climate,CO555,Great Sand Dunes Lower,"Grissino-Mayer, H.D.",ITRDB,NA,PIPO,37.78,-105.5,2530,1260,1995,Y
Climate,CO639,Happy Meadows,"Woodhouse, C.A.; Losleben, M.V.; Chowanski, K.; Lukas, J.J.",ITRDB,NA,PIPO,39.0167,-105.3667,2440,1620,2003,Y
Climate,CO538,Horsetooth Reservior A,"Graybill, D.A.",ITRDB,NA,PIPO,40.53,-105.13,1706,1670,1987,N
Climate,CO040,Horsetooth Reservoir C,"Fritts, H.C.; Holmes, R.L.",ITRDB,NA,PIPO,40.53,-105.15,1737,1650,1964,N
Climate,CO528,Indian Creek,"Swetnam, T.W.; Lynch, A.M.; Raimo, B.J.",ITRDB,NA,PIPO,39.37,-105.13,2400,1859,1983,N
