"","B18","B19","EP","FP","JP","LJ","NI","SH","SR","SS","SP","TI","WR","WW","WB"
"1650",-0.85,-0.85,-0.85,-0.816,-0.851,-0.85,-0.337,-0.337,-1.129,-0.816,-0.337,0.026,-0.851,-0.851,-0.337
"1651",1.945,1.945,1.945,1.941,1.957,1.945,1.396,1.396,2.043,1.941,1.396,1.81,1.957,1.957,1.396
"1652",1.328,1.328,1.328,1.087,0.955,1.328,0.812,0.812,1.081,1.087,0.812,0.784,0.955,0.955,0.812
"1653",-2.08,-2.08,-2.08,-1.74,-1.293,-2.08,-1.429,-1.429,-1.531,-1.74,-1.429,-1.843,-1.293,-1.293,-1.429
"1654",-8.541,-8.541,-8.541,-7.498,-6.699,-8.541,-5.512,-5.512,-7.417,-7.498,-5.512,-5.901,-6.699,-6.699,-5.512
"1655",1.282,1.282,1.282,1.594,1.82,1.282,0.813,0.813,1.92,1.594,0.813,0.785,1.82,1.82,0.813
"1656",2.282,2.282,2.282,2.153,2.151,2.282,1.29,1.29,2.513,2.153,1.29,1.16,2.151,2.151,1.29
"1657",2.546,2.546,2.546,2.331,2.172,2.546,1.518,1.518,2.44,2.331,1.518,1.22,2.172,2.172,1.518
"1658",0.536,0.536,0.536,0.123,-0.251,0.536,0.212,0.212,-0.12,0.123,0.212,-0.052,-0.251,-0.251,0.212
"1659",0.596,0.596,0.596,0.337,0.054,0.596,0.376,0.376,0.065,0.337,0.376,0.132,0.054,0.054,0.376
"1660",0.978,0.978,0.978,1.215,1.352,0.978,0.741,0.741,1.561,1.215,0.741,0.842,1.352,1.352,0.741
"1661",2.495,2.495,2.495,2.566,2.707,2.495,1.597,1.597,3.099,2.566,1.597,1.703,2.707,2.707,1.597
"1662",1.353,1.353,1.353,1.531,1.738,1.353,0.73,0.73,2.193,1.531,0.73,0.715,1.738,1.738,0.73
"1663",0.315,0.315,0.315,0.339,0.44,0.315,0.014,0.014,0.64,0.339,0.014,-0.263,0.44,0.44,0.014
"1664",-2.376,-2.376,-2.376,-2.284,-2.133,-2.376,-1.749,-1.749,-2.124,-2.284,-1.749,-2.077,-2.133,-2.133,-1.749
"1665",-1.801,-1.801,-1.801,-1.368,-0.997,-1.801,-1.357,-1.357,-1.012,-1.368,-1.357,-1.901,-0.997,-0.997,-1.357
"1666",-2.675,-2.675,-2.675,-2.622,-2.557,-2.675,-1.773,-1.773,-2.807,-2.622,-1.773,-1.9,-2.557,-2.557,-1.773
"1667",-3.417,-3.417,-3.417,-2.954,-2.564,-3.417,-2.411,-2.411,-2.912,-2.954,-2.411,-3.066,-2.564,-2.564,-2.411
"1668",-5.941,-5.941,-5.941,-5.147,-4.645,-5.941,-3.88,-3.88,-5.177,-5.147,-3.88,-4.368,-4.645,-4.645,-3.88
"1669",-2.117,-2.117,-2.117,-1.748,-1.621,-2.117,-1.205,-1.205,-2.092,-1.748,-1.205,-0.996,-1.621,-1.621,-1.205
"1670",-1.02,-1.02,-1.02,-0.876,-0.788,-1.02,-0.763,-0.763,-0.87,-0.876,-0.763,-1.115,-0.788,-0.788,-0.763
"1671",-0.791,-0.791,-0.791,-0.294,0.084,-0.791,-0.684,-0.684,0.164,-0.294,-0.684,-1.132,0.084,0.084,-0.684
"1672",0.115,0.115,0.115,0.414,0.581,0.115,0.041,0.041,0.658,0.414,0.041,0.208,0.581,0.581,0.041
"1673",2.97,2.97,2.97,2.575,2.252,2.97,1.93,1.93,2.539,2.575,1.93,2.399,2.252,2.252,1.93
"1674",2.971,2.971,2.971,2.539,2.303,2.971,1.798,1.798,2.671,2.539,1.798,2.048,2.303,2.303,1.798
"1675",-0.822,-0.822,-0.822,-1.188,-1.418,-0.822,-0.613,-0.613,-1.335,-1.188,-0.613,-0.511,-1.418,-1.418,-0.613
"1676",2.217,2.217,2.217,1.377,0.736,2.217,1.548,1.548,0.836,1.377,1.548,2.179,0.736,0.736,1.548
"1677",2.665,2.665,2.665,2.36,2.21,2.665,1.521,1.521,2.715,2.36,1.521,1.425,2.21,2.21,1.521
"1678",5.706,5.706,5.706,5.125,4.67,5.706,3.602,3.602,5.266,5.125,3.602,3.787,4.67,4.67,3.602
"1679",-1.087,-1.087,-1.087,-1.026,-1.091,-1.087,-0.37,-0.37,-1.244,-1.026,-0.37,0.196,-1.091,-1.091,-0.37
