"host","nonhost1","nonhost2","nonhost3","nonhost1.r","nonhost2.r","nonhost3.r","nonhost1.d","nonhost2.d","nonhost3.d","r.hostxNADA","mean.r","notes"
"B18","CO527","CO526","CO611",0.550674916355712,0.474362190232365,0.459836285140028,7479.70695556226,28871.9763512708,69626.604418975,0.38311564339926,0.494957797242702,NA
"B19","CO531","CO527","CO526",0.409714037390982,0.3986661901293,0.382721972179923,142847.885246092,7542.04788682912,27762.5427201759,0.354295548989839,0.397034066566735,NA
"JP","CO530","CO527","DRIcombo",0.543968641149024,0.474596663086646,0.456893663152445,88012.1057538968,125486.574374723,143093.748470211,0.493456953524435,0.491819655796038,NA
"LJ","CO527","DRIcombo","CO666",0.561087922571487,0.502514781655499,0.47257664978109,8481.82265720303,12890.7564874128,4985.32695670028,0.531812003689177,0.512059784669358,NA
"NI","CO544","CO528","CO591",0.349813799613289,0.333777150660336,0.303001399118782,20428.2498182144,115304.49351707,78260.148486258,0.276697798701673,0.328864116464136,NA
"SR","CO531","CO528","CO601",0.508670198698802,0.484272660785857,0.457333848263886,24078.3536854442,25162.9250264521,27631.6157055918,0.420829894151986,0.483425569249515,NA
"SS","CO527","CO531","CO607",0.576056142870924,0.418906657003345,0.408865559013704,21088.9305810905,126489.518771993,11099.3508665704,0.3651823237324,0.467942786295991,NA
"SP","CO544","CO526","CO527",0.427087387999861,0.419262658725852,0.376396170123064,18479.9789019953,32468.1206085432,31784.9019120221,0.564357178094027,0.407582072282925,NA
"TI","CO591","CO527","CO551",0.336552752417213,0.239285840170331,0.205858581005635,94239.781533937,127672.247424466,136966.656696938,0.251208406945237,0.26056572453106,NA
"WR","CO601","CO602","CO531",0.511354076342077,0.511354076342077,0.492122802170826,38272.6191975048,24475.3348969673,42744.4711803434,0.500053774645192,0.504943651618327,NA
"WW","CO530","CO527","CO601",0.500234025724635,0.387482352763667,0.386749499758834,104313.046343232,109523.421096969,17768.5232411913,0.277838261995337,0.424821959415712,NA
"WB","CO527","CO526","CO591",0.390279802598718,0.355187886860734,0.310209631854127,11117.6596404314,24280.6509429389,86075.087214759,0.429555172212027,0.35189244043786,NA
