"host","nonhost1","nonhost2","nonhost3","nonhost1.r","nonhost2.r","nonhost3.r","nonhost1.d","nonhost2.d","nonhost3.d","r.hostxNADA","mean.r","notes"
"B18","CO666","CO607","CO611",0.542038403722949,0.536956394011979,0.459836285140028,10244.2082995133,4764.13606317559,69626.604418975,0.38311564339926,0.512943694291652,NA
"B19","CO607","CO666","CO611",0.508897590210085,0.411635918697666,0.344677779606508,6769.67965911018,9727.31159319322,71118.8192063951,0.354295548989839,0.42173709617142,NA
"EP","CO601","CO622","JEFFcombo",0.0866441545058866,0.0367239429992084,0.035548784232972,111373.540663931,41449.892557818,78431.4823836999,0.126405797689596,0.052972293912689,"Removed due to poor correlation with PDSI"
"FP","CO639","CO666","CO601",0.167391178474313,0.12005505800743,0.115723015354351,113794.178949877,23352.1329221121,77082.464595157,0.171664846367482,0.134389750612031,"Removed due to poor correlation with PDSI"
"JP","CO639","CO669","TCcombo",0.53620535230476,0.387738797749914,0.36608672988973,8139.36634458614,113113.019201346,69564.8887590048,0.493456953524435,0.430010293314802,NA
"LJ","CO666","CO607","CO611",0.47257664978109,0.455481942042747,0.434947079093978,4985.32695670028,18082.6657150114,83722.2326046708,0.531812003689177,0.454335223639272,NA
"NI","CO591","CO622","CO596",0.303001399118782,0.249135034051592,0.20204275112354,78260.148486258,51698.6218328031,56417.0336638631,0.276697798701673,0.251393061431305,NA
"SH","CO601","VANBcombo","CO596",0.0694963732944297,0.053291918399417,0.0303610866951414,113000.637392011,30751.1056364164,52615.9704423837,0.0328418994045689,0.0510497927963294,"Removed due to poor correlation with PDSI"
"SR","CO601","CO602","CO611",0.457333848263886,0.457333848263886,0.453395550687345,27631.6157055918,47912.2376212085,48344.8587459344,0.420829894151986,0.456021082405039,NA
"SS","CO607","CO666","CO639",0.408865559013704,0.343905542266883,0.318597133654401,11099.3508665704,24445.237462727,112551.980543015,0.3651823237324,0.357122744978329,NA
"SP","CO622","CO611","CO607",0.383666403840947,0.355361429000336,0.351447527102634,54074.6771635615,90475.1150883105,34642.3650786723,0.564357178094027,0.363491786647972,NA
"TI","CO591","DRIcombo","CO622",0.336552752417213,0.281868639886627,0.237818268112994,94239.781533937,108879.399047362,98896.2088123922,0.251208406945237,0.285413220138945,NA
"WR","CO639","CO601","CO602",0.578989163317519,0.511354076342077,0.511354076342077,8955.74539186497,38272.6191975048,24475.3348969673,0.500053774645192,0.533899105333891,NA
"WW","CO639","CO601","CO602",0.4252144291795,0.386749499758834,0.386749499758834,26152.2649020499,17768.5232411913,43331.2119216409,0.277838261995337,0.399571142899056,NA
"WB","CO607","CO666","CO591",0.341987058966424,0.328563540829521,0.310209631854127,14190.8637868082,10873.1657920388,86075.087214759,0.429555172212027,0.32692007721669,NA
