"","B18","B19","LJ","SS","WR","JP","WW","SR","NI","SP","WB","TI"
"B18",0.186440677966102,0.303030303030303,0.152941176470588,0.220779220779221,0.186440677966102,0.169491525423729,0.11864406779661,0.19047619047619,0.276315789473684,0.260869565217391,0.30379746835443,1
"B19",0.144927536231884,0.318840579710145,0.258823529411765,0.272727272727273,0.188405797101449,0.202898550724638,0.260869565217391,0.246376811594203,0.355263157894737,1,0.291139240506329,0.260869565217391
"LJ",0.144736842105263,0.210526315789474,0.223529411764706,0.294871794871795,0.184210526315789,0.171052631578947,0.157894736842105,0.197368421052632,1,0.355263157894737,0.316455696202532,0.276315789473684
"SS",0.223529411764706,0.364705882352941,1,0.482352941176471,0.2,0.188235294117647,0.188235294117647,0.258823529411765,0.223529411764706,0.258823529411765,0.270588235294118,0.152941176470588
"WR",0.151898734177215,0.278481012658228,0.270588235294118,0.177215189873418,0.139240506329114,0.20253164556962,0.164556962025316,0.126582278481013,0.316455696202532,0.291139240506329,1,0.30379746835443
"JP",0.257575757575758,1,0.364705882352941,0.272727272727273,0.196969696969697,0.227272727272727,0.227272727272727,0.212121212121212,0.210526315789474,0.318840579710145,0.278481012658228,0.303030303030303
"WW",1,0.257575757575758,0.223529411764706,0.168831168831169,0.230769230769231,0.132075471698113,0.224489795918367,0.174603174603175,0.144736842105263,0.144927536231884,0.151898734177215,0.186440677966102
"SR",0.168831168831169,0.272727272727273,0.482352941176471,1,0.246753246753247,0.194805194805195,0.246753246753247,0.233766233766234,0.294871794871795,0.272727272727273,0.177215189873418,0.220779220779221
"NI",0.224489795918367,0.227272727272727,0.188235294117647,0.246753246753247,0.173076923076923,0.226415094339623,1,0.174603174603175,0.157894736842105,0.260869565217391,0.164556962025316,0.11864406779661
"SP",0.174603174603175,0.212121212121212,0.258823529411765,0.233766233766234,0.19047619047619,0.206349206349206,0.174603174603175,1,0.197368421052632,0.246376811594203,0.126582278481013,0.19047619047619
"WB",0.230769230769231,0.196969696969697,0.2,0.246753246753247,1,0.232142857142857,0.173076923076923,0.19047619047619,0.184210526315789,0.188405797101449,0.139240506329114,0.186440677966102
"TI",0.132075471698113,0.227272727272727,0.188235294117647,0.194805194805195,0.232142857142857,1,0.226415094339623,0.206349206349206,0.171052631578947,0.202898550724638,0.20253164556962,0.169491525423729
