"","B18","B19","LJ","SS","WR","JP","WW","SR","NI","SP","WB","TI"
"B18","0","0","-2","0","3","-4","-5","0","0","0","0","0"
"B19","3","0","0","0","0","0","0","0","0","0","0","0"
"LJ","2","0","0","0","0","0","-2","3","0","0","0","0"
"SS","0","0","0","0","0","-3","0","0","0","0","0","2"
"WR","0","0","0","-3","-3","0","-3","3","0","0","0","0"
"JP","0","0","0","0","-3","0","0","3","0","0","0","0"
"WW","0","0","0","0","0","-1","0","0","-2","-3","0","0"
"SR","0","0","0","0","0","0","0","0","0","0","-3","0"
"NI","0","0","0","0","4","0","0","-3","2","0","3","-1"
"SP","-3","-3","0","0","-5","0","0","0","-3","0","-3","0"
"WB","0","3","0","0","0","0","-4","0","0","0","3","-3"
"TI","-3","0","3","0","0","0","0","0","0","0","0","4"
