"","B18","B19","LJ","SS","WR","JP","WW","SR","NI","SP","WB","TI"
"B18",0.014985014985015,0.002997002997003,0.202797202797203,0.014985014985015,0.022977022977023,0.0889110889110889,0.310689310689311,0.0579420579420579,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999
"B19",0.112887112887113,0.000999000999000999,0.003996003996004,0.00599400599400599,0.016983016983017,0.016983016983017,0.000999000999000999,0.00599400599400599,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999
"LJ",0.141858141858142,0.056943056943057,0.0889110889110889,0.000999000999000999,0.030969030969031,0.0749250749250749,0.0549450549450549,0.0879120879120879,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999
"SS",0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.021978021978022,0.01998001998002,0.010989010989011,0.000999000999000999,0.0719280719280719,0.00799200799200799,0.010989010989011,0.223776223776224
"WR",0.0849150849150849,0.000999000999000999,0.012987012987013,0.350649350649351,0.208791208791209,0.013986013986014,0.0549450549450549,0.553446553446553,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999
"JP",0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.010989010989011,0.004995004995005,0.000999000999000999,0.03996003996004,0.056943056943057,0.000999000999000999,0.000999000999000999,0.004995004995005
"WW",0.000999000999000999,0.000999000999000999,0.000999000999000999,0.033966033966034,0.000999000999000999,0.256743256743257,0.000999000999000999,0.040959040959041,0.162837162837163,0.0999000999000999,0.0819180819180819,0.021978021978022
"SR",0.051948051948052,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.020979020979021,0.000999000999000999,0.004995004995005,0.000999000999000999,0.000999000999000999,0.33966033966034,0.014985014985015
"NI",0.000999000999000999,0.000999000999000999,0.010989010989011,0.000999000999000999,0.0959040959040959,0.002997002997003,0.000999000999000999,0.017982017982018,0.0599400599400599,0.000999000999000999,0.045954045954046,0.311688311688312
"SP",0.045954045954046,0.033966033966034,0.000999000999000999,0.002997002997003,0.02997002997003,0.024975024975025,0.00999000999000999,0.000999000999000999,0.0659340659340659,0.001998001998002,0.573426573426573,0.0639360639360639
"WB",0.000999000999000999,0.01998001998002,0.004995004995005,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0849150849150849,0.02997002997003,0.025974025974026,0.025974025974026,0.191808191808192,0.020979020979021
"TI",0.266733266733267,0.00799200799200799,0.028971028971029,0.012987012987013,0.000999000999000999,0.000999000999000999,0.00599400599400599,0.01998001998002,0.0749250749250749,0.015984015984016,0.01998001998002,0.0729270729270729
